"filename", "language", "HTML", "comment", "blank", "total"
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\arrangement.html", "HTML", 116, 4, 18, 138
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\butikker.html", "HTML", 166, 1, 14, 181
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\butikker\bunnpris.html", "HTML", 79, 4, 14, 97
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\butikker\coop.html", "HTML", 74, 4, 14, 92
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\butikker\fjordsuvenir.html", "HTML", 74, 4, 13, 91
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\butikker\ljos.html", "HTML", 77, 4, 15, 96
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\butikker\outlet.html", "HTML", 72, 4, 12, 88
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\butikker\riccovero.html", "HTML", 88, 4, 14, 106
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\butikker\skogstad.html", "HTML", 84, 4, 17, 105
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\butikker\viking.html", "HTML", 73, 4, 15, 92
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\kontakt.html", "HTML", 83, 4, 11, 98
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\leiligheter\dobbelleilighet.html", "HTML", 165, 4, 25, 194
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\leiligheter\leilighet1.html", "HTML", 160, 1, 25, 186
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\leiligheter\minihus.html", "HTML", 165, 4, 30, 199
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\leiligheter\studio.html", "HTML", 172, 4, 25, 201
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\overnatting.html", "HTML", 165, 13, 18, 196
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\restauranter\fjordhotel.html", "HTML", 76, 4, 10, 90
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\restauranter\hoven.html", "HTML", 423, 4, 52, 479
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\restauranter\molla.html", "HTML", 223, 4, 44, 271
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\restauranter\singermat.html", "HTML", 78, 5, 13, 96
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\restauranter\stabukk.html", "HTML", 70, 5, 12, 87
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\restauranter\sunde.html", "HTML", 345, 4, 55, 404
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\restauranter\yris.html", "HTML", 434, 4, 47, 485
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\severdigheter\baat.html", "HTML", 93, 4, 9, 106
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\severdigheter\briksdalen.html", "HTML", 112, 4, 10, 126
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\severdigheter\gamlekyrkja.html", "HTML", 102, 4, 15, 121
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\severdigheter\hydla.html", "HTML", 96, 4, 13, 113
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\severdigheter\laukifossen.html", "HTML", 92, 4, 11, 107
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\visitolden\html\severdigheter\loenplay.html", "HTML", 100, 4, 12, 116
